Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation,ML
14,0,0,-2,-50,0,-6,52,0,52.4976189936268,102.078401241399,55.7135531087365,0.0182961815633753,0.0167907337663046,4.59753274215845,6.71356441917796,0.484631006960261,72.2553283749431,0,74,0,0
14,0,0,-2,-48,0,-6,50,0,50.5964425626941,98.0815986819138,53.851648071345,0.0207749094943238,0.0195270938812394,5.32530305183257,7.44112984057003,1.09304133970056,71.565051177078,0,75.5,0,0
14,0,0,-2,-46,0,-6,48,0,48.7031826475437,94.0850678907126,52,0.0225737252566607,0.0216469664980656,5.79423571358362,8.21211913918485,2.68861334050297,70.8209919741893,0,76.5,-1,0
14,0,0,-2,-44,0,-6,46,0,46.8187996428785,90.0888450364417,50.1597448159378,0.026536903844575,0.025836919983312,7.28100505122861,9.70218470128836,1.10641847830555,70.0168934781,0,72,0.5,0
14,0,0,-2,-42,0,-6,44,0,44.9444101084885,86.0929730001235,48.3321838943783,0.0303116190386093,0.0298124470375518,8.3516962267708,11.2936238473676,1.48734945543843,69.1455419604217,0,72.5,-0.5,0
14,0,0,-2,-40,0,-6,42,0,43.081318457076,82.0975030070952,46.518813398452,0.0359198432080795,0.0354037060520568,9.83363848709026,12.3594943926055,0.500391523986615,68.1985905136482,0,70,0,0
14,0,0,-2,-38,0,-6,40,0,41.2310562561766,78.1024967590665,44.7213595499958,0.0423773458232542,0.0420873352104291,10.7882586912274,13.0914927299588,0.509348382754876,67.1663458220824,0,69,0,0
14,0,0,-2,-36,0,-6,38,0,39.3954312071844,74.1080292545956,42.9418211071678,0.0510642866654304,0.0509655306489544,12.1902324718243,14.5863128008886,0.684024715160605,66.0375110254218,0,68.5,0,0
14,0,0,-2,-34,0,-6,36,0,37.5765884561119,70.1141925718324,41.182520563948,0.0594523183229922,0.0596394238560524,13.2685044461863,15.329632474507,0.611423234854189,64.7988763545249,0,65,0.5,0
14,0,0,-2,-32,0,-6,34,0,35.7770876399966,66.1211010192662,39.446165846632,0.0742418609245606,0.0742896747127255,14.8525842268383,17.303517877661,0.712514215854997,63.434948822922,0,64,0.5,0
14,0,0,-2,-30,0,-6,32,0,34,62.1288982680363,37.7359245282264,0.0906709622226145,0.0907877260059202,16.422755378106,19.2201819980818,0.0201352599591548,61.927513064147,0,62,0,0
14,0,0,-2,-28,0,-6,30,0,32.2490309931942,58.1377674149945,36.0555127546399,0.11442782568336,0.114852113425507,17.9079474124222,19.908766742333,0.206911471372838,60.2551187030578,0,61,0,0
14,0,0,-2,-26,0,-6,28,0,30.5286750449475,54.1479454827235,34.4093010681705,0.139062629174607,0.140535123078854,19.2761227384126,22.2817665265767,0.168750623958027,58.3924977537511,0,59,0,0
14,0,0,-2,-24,0,-6,26,0,28.8444102037119,50.1597448159378,32.8024389337135,0.178387097726073,0.179064404756147,21.3737844696061,24.6443762876035,0.0527965349943847,56.3099324740202,0,56.5,0,0
14,0,0,-2,-22,0,-6,24,0,27.2029410174709,46.1735855224608,31.2409987036266,0.227297193383509,0.22725380297124,23.3672303995591,27.4330570083094,0.0076037180843337,53.9726266148964,0,54,0,0
14,0,0,-2,-20,0,-6,22,0,25.6124969497314,42.190046219458,29.732137494637,0.291077285885418,0.290628848325838,24.1095639268911,28.8110678159722,0.0944977071971979,51.3401917459099,0,51,0,0
14,0,0,-2,-18,0,-6,20,0,24.0831891575846,38.2099463490856,28.2842712474619,0.38039846648358,0.381629709116686,25.7120425043174,32.2505416881049,0.0370942601583874,48.3664606634298,0,48.5,0,0
14,0,0,-2,-16,0,-6,18,0,22.6274169979695,34.2344855372474,26.9072480941474,0.493903505617513,0.493987185493175,27.0456044190263,34.5105793495653,0,45,0,45,0,0
14,0,0,-2,-14,0,-6,16,0,21.2602916254693,30.2654919008431,25.6124969497314,0.645455422439827,0.650013636034569,29.2872286776184,37.6743356919442,0.0872430095250978,41.1859251657096,0,41.5,0,0
14,0,0,-2,-12,0,-6,14,0,20,26.3058928759318,24.4131112314674,0.834975672301138,0.838559238833584,29.876511794827,41.4143530144466,0.0361395428211056,36.869897645844,0,37,0,0
14,0,0,-2,-10,0,-6,12,0,18.8679622641132,22.3606797749979,23.3238075793812,1.07754342417143,1.07605139845952,31.1544484324215,44.7301716470154,0.00149533557874825,32.0053832080835,0,32,0,0
14,0,0,-2,-8,0,-6,10,0,17.8885438199983,18.4390889145858,22.3606797749979,1.35881283113878,1.35583890586814,31.6736973629899,46.666004518806,0.0180697714105528,26.565051177078,0,26.5,0,0
14,0,0,-2,-6,0,-6,8,0,17.0880074906351,14.560219778561,21.540659228538,1.661683820056,1.65824950632362,30.8606624540454,49.4020184463178,0.0155681165509621,20.5560452195835,0,20.5,0,0
14,0,0,-2,-4,0,-6,6,0,16.4924225024706,10.770329614269,20.8806130178211,1.94191252234223,1.94114756315668,29.7851535177152,51.182787636557,0.0100676299795774,14.0362434679265,0,14,0,0
14,0,0,-2,-2,0,-6,4,0,16.1245154965971,7.21110255092798,20.3960780543711,2.14868829104577,2.14380801158912,27.2464295391509,52.7099922780039,0.0347267635838327,7.1250163489018,0,7,0,0
14,0,0,-2,2,0,-4,2,0,16.1245154965971,2,18.1107702762748,2.16505661037374,2.35066106107393,16.2215150395726,39.6063311994289,0.173615652472722,-7.1250163489018,0,-6.5,0,0
14,0,0,-2,4,0,-6,2,0,16.4924225024706,4.47213595499958,20.0997512422418,1.9472847044487,2.0170721021771,22.5596797937453,43.6917714944021,0.128821258909311,-14.0362434679265,0,-14.5,0,0
14,0,0,-2,6,0,-8,2,0,17.0880074906351,7.21110255092798,22.0907220343745,1.64929516422142,1.65233245137943,24.9140111021437,41.6053147676766,0.0155681165509621,-20.5560452195835,0,-20.5,0,0
