Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation,ML
14,0,0,-2,-50,0,-6,52,0,52.4976189936268,102.078401241399,55.7135531087365,0.0171461186794234,0.0158323699228073,4.10509407121886,6.36460592386381,1.04018656251582,72.2553283749431,0,74,0.5,0
14,0,0,-2,-48,0,-6,50,0,50.5964425626941,98.0815986819138,53.851648071345,0.021143160541786,0.0199424249795566,5.73353148314836,8.00874765432713,1.12918088252166,71.565051177078,0,71.5,-1,0
14,0,0,-2,-46,0,-6,48,0,48.7031826475437,94.0850678907126,52,0.0225415218143841,0.0215408224652996,5.92494882769843,7.98900526221452,1.99416889605853,70.8209919741893,0,72,1.5,0
14,0,0,-2,-44,0,-6,46,0,46.8187996428785,90.0888450364417,50.1597448159378,0.0256764166431432,0.0250272234957256,6.47030814939352,8.29045914473175,1.93975181163888,70.0168934781,0,73,-1,0
14,0,0,-2,-42,0,-6,44,0,44.9444101084885,86.0929730001235,48.3321838943783,0.0310452832531223,0.0304094695800184,8.62859553026486,10.7236124522528,0.654016122105096,69.1455419604217,0,71.5,0,0
14,0,0,-2,-40,0,-6,42,0,43.081318457076,82.0975030070952,46.518813398452,0.0360016524395261,0.0357013272058593,9.49600437896708,11.7976916600796,1.05594707954217,68.1985905136482,0,70,-0.5,0
14,0,0,-2,-38,0,-6,40,0,41.2310562561766,78.1024967590665,44.7213595499958,0.0433120589978972,0.0430041762400693,11.3576577628598,14.4281908107196,0.231570604977098,67.1663458220824,0,68,0,0
14,0,0,-2,-36,0,-6,38,0,39.3954312071844,74.1080292545956,42.9418211071678,0.0493627615770865,0.0489995333510008,11.8538596802697,13.8106768384919,0.267358048493939,66.0375110254218,0,67,0,0
14,0,0,-2,-34,0,-6,36,0,37.5765884561119,70.1141925718324,41.182520563948,0.0604607834211423,0.0606942690596896,13.0268800150898,14.9500393837567,0.194756568187522,64.7988763545249,0,65.5,0,0
14,0,0,-2,-32,0,-6,34,0,35.7770876399966,66.1211010192662,39.446165846632,0.074807468541103,0.0749760520982178,15.3570847402929,18.0280419999069,0.712514215854997,63.434948822922,0,64,-0.5,0
14,0,0,-2,-30,0,-6,32,0,34,62.1288982680363,37.7359245282264,0.0922776225538918,0.0929217797278948,16.7633460983791,19.4930432772732,0.436801926625822,61.927513064147,0,63.5,0,0
