Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB),Total Percent Error,Expected Azimuth,Expected Elevation,Measured Azimuth,Measured Elevation,ML
14,0,0,-6,50,0,-14,-54,0,53.851648071345,104.307238483242,60.8276253029822,0.0232714350328632,0.0224726757352776,6.44286848966914,9.04584657125267,1.75039152398662,-68.1985905136482,0,-72.5,0.5,0
14,0,0,-6,48,0,-14,-54,0,52,102.313244499429,60.8276253029822,0.0269805314254577,0.026280504796656,7.87812532935943,11.0486756802835,3.08885137445567,-67.3801350519596,0,-70.5,-2,0
14,0,0,-6,46,0,-14,-54,0,50.1597448159378,100.319489631876,60.8276253029822,0.0307329163752425,0.0302818030941172,9.30981989406577,12.4503532883878,1.52737935443114,-66.5014343240479,0,-70,-0.5,0
14,0,0,-6,44,0,-14,-54,0,48.3321838943783,98.3259884262548,60.8276253029822,0.0356664296565038,0.0351223117271779,9.80452087144418,12.2449774215735,1.23443188344904,-65.5560452195835,0,-66,1,0
14,0,0,-6,42,0,-14,-54,0,46.518813398452,96.3327566303384,60.8276253029822,0.0423940910950112,0.0421355050845554,11.7796702925687,15.1416212885492,0.823151406075446,-64.5366549381284,0,-65.5,0.5,0
14,0,0,-6,40,0,-14,-54,0,44.7213595499958,94.339811320566,60.8276253029822,0.0479574493776931,0.0477230583328222,12.255042433463,15.0331496522205,0.434736438077219,-63.434948822922,0,-65,0,0
14,0,0,-6,38,0,-14,-54,0,42.9418211071678,92.3471710449216,60.8276253029822,0.0558013899661126,0.0556223524297407,13.4934599163601,16.5625116506303,0.0718168336277832,-62.24145939894,0,-62.5,0,0
14,0,0,-6,36,0,-14,-54,0,41.182520563948,90.3548559846121,60.8276253029822,0.0658599655109379,0.0657411738638131,14.7507740511202,17.6279105591441,0.70961224974365,-60.9453959009229,0,-61.5,0.5,0
14,0,0,-6,34,0,-14,-54,0,39.446165846632,88.3628881374981,60.8276253029822,0.0793798933440645,0.0793313993551713,16.4477950090759,19.5466912872452,0.00957085570559081,-59.5344550805401,0,-59.5,0,0
14,0,0,-6,32,0,-14,-54,0,37.7359245282264,86.3712915267567,60.8276253029822,0.0941626943884824,0.0943605309034291,17.9592754838865,20.5215036363464,0.140384224467639,-57.9946167919165,0,-58.5,0,0
14,0,0,-6,30,0,-14,-54,0,36.0555127546399,84.380092438916,60.8276253029822,0.113318494111902,0.113345198057549,19.784204212954,23.1693099466665,0.0860923538945042,-56.3099324740202,0,-56,0,0
14,0,0,-6,28,0,-14,-54,0,34.4093010681705,82.3893196961839,60.8276253029822,0.13892044688117,0.138971459548322,22.0393160307236,25.0611073379688,0.0104660533262171,-54.4623222080256,0,-54.5,0,0
14,0,0,-6,26,0,-14,-54,0,32.8024389337135,80.3990049689671,60.8276253029822,0.169159069552675,0.169051033713859,23.4964470193236,26.7663838383953,0.0190533413409691,-52.4314079711725,0,-52.5,0,0
14,0,0,-6,24,0,-14,-54,0,31.2409987036266,78.4091831356506,60.8276253029822,0.208169656500112,0.208998048584092,24.6884573201237,29.087636846426,0.0848808589625527,-50.1944289077348,0,-50.5,0,0
14,0,0,-6,22,0,-14,-54,0,29.732137494637,76.4198926981712,60.8276253029822,0.255956170893161,0.256850296806496,26.3061904423938,30.3407324923086,0.0760247239149257,-47.7263109939063,0,-48,0,0
14,0,0,-6,20,0,-14,-54,0,28.2842712474619,74.4311762637136,60.8276253029822,0.315683115246461,0.315155442905478,28.1059092462121,33.0645986504747,0,-45,0,-45,0,0
14,0,0,-6,18,0,-14,-54,0,26.9072480941474,72.4430811050993,60.8276253029822,0.390913863865138,0.390867666299014,29.418691638374,34.33016381643,0.00355208449537317,-41.9872124958167,0,-42,0,0
14,0,0,-6,16,0,-14,-54,0,25.6124969497314,70.4556598152341,60.8276253029822,0.48130140570865,0.480712330128849,30.8113836909789,37.0620612963673,0.044391181691693,-38.6598082540901,0,-38.5,0,0
14,0,0,-6,14,0,-14,-54,0,24.4131112314674,68.4689710744948,60.8276253029822,0.593270277911661,0.593129560174108,32.6457289133325,39.2995194654499,0.00221661151148251,-34.9920201985587,0,-35,0,0
14,0,0,-6,12,0,-14,-54,0,23.3238075793812,66.4830805543786,60.8276253029822,0.722787476817156,0.723493834749259,34.6536636724252,41.5031151147169,0.0100676299795774,-30.9637565320735,0,-31,0,0
14,0,0,-6,10,0,-14,-54,0,22.3606797749979,64.4980619863884,60.8276253029822,0.867873782594995,0.867484190777607,36.4475984547994,44.3183972828894,0.0180697714105528,-26.565051177078,0,-26.5,0,0
14,0,0,-6,8,0,-14,-54,0,21.540659228538,62.5139984323511,60.8276253029822,1.02336505675697,1.02682459477762,37.0422621218431,45.0540494889327,0.0551640315689412,-21.8014094863518,0,-22,0,0
14,0,0,-6,6,0,-14,-54,0,20.8806130178211,60.5309838016862,60.8276253029822,1.17439948133476,1.17218775600703,38.7679835328372,47.9820118708504,0.0553456205537836,-16.6992442339936,0,-16.5,0,0
14,0,0,-6,4,0,-14,-54,0,20.3960780543711,58.5491246732178,60.8276253029822,1.30314310218344,1.3054664273711,39.2564686354178,48.7908817405912,0.0527965349943847,-11.3099324740202,0,-11.5,0,0
14,0,0,-6,2,0,-14,-54,0,20.0997512422418,56.5685424949238,60.8276253029822,1.39176442728225,1.39038750020022,39.5410501780811,49.7706110397684,0.0584980937499008,-5.71059313749964,0,-5.5,0,0
14,0,0,-6,-2,0,-14,-54,0,20.0997512422418,52.6117857518636,60.8276253029822,1.39192346739183,1.39093589807497,39.524185402431,49.787857261416,0.0584980937499008,5.71059313749964,0,5.5,0,0
14,0,0,-6,-4,0,-14,-54,0,20.3960780543711,50.6359556046887,60.8276253029822,1.30469744900632,1.30620331412451,38.1634638360671,49.1746759746328,0.0527965349943847,11.3099324740202,0,11.5,0,0
14,0,0,-6,-6,0,-14,-54,0,20.8806130178211,48.6621002423858,60.8276253029822,1.17413541661776,1.17189139052128,36.4746086682616,47.6155070902834,0.0553456205537836,16.6992442339936,0,16.5,0,0
14,0,0,-6,-8,0,-14,-54,0,21.540659228538,46.690470119715,60.8276253029822,1.02380283945864,1.02678425442673,35.4086106673254,44.9831622838267,0.0551640315689412,21.8014094863518,0,22,0,0
14,0,0,-6,-10,0,-14,-54,0,22.3606797749979,44.7213595499958,60.8276253029822,0.869262547249829,0.867786257897999,34.3074978587616,43.8908132657555,0.0180697714105528,26.565051177078,0,26.5,0,0
14,0,0,-6,-12,0,-14,-54,0,23.3238075793812,42.7551166528639,60.8276253029822,0.722524714765695,0.723483007237265,32.6517389828331,42.5693092763317,0.0100676299795774,30.9637565320735,0,31,0,0
14,0,0,-6,-14,0,-14,-54,0,24.4131112314674,40.7921561087423,60.8276253029822,0.593143016708388,0.592866725619024,29.5592055928319,38.9941052792467,0.00221661151148251,34.9920201985587,0,35,0,0
14,0,0,-6,-16,0,-14,-54,0,25.6124969497314,38.8329756778952,60.8276253029822,0.481312117241061,0.480540939025806,27.9908866649136,37.0781340914658,0.044391181691693,38.6598082540901,0,38.5,0,0
14,0,0,-6,-18,0,-14,-54,0,26.9072480941474,36.8781778291715,60.8276253029822,0.391236088764034,0.390525353595932,25.7822583808592,33.5300836858279,0.00355208449537317,41.9872124958167,0,42,0,0
14,0,0,-6,-20,0,-14,-54,0,28.2842712474619,34.928498393146,60.8276253029822,0.316149306596548,0.320687412054252,22.6877905377751,31.5208406086564,0.138888888888889,45,0,45.5,0,0
14,0,0,-6,-22,0,-14,-54,0,29.732137494637,32.9848450049413,60.8276253029822,0.256700499942093,0.261016106134027,21.4423102886614,30.5526097999218,0.214913612803815,47.7263109939063,0,48.5,0,0
14,0,0,-6,-24,0,-14,-54,0,31.2409987036266,31.04834939252,60.8276253029822,0.207591953152814,0.210827025802617,18.7974799608787,26.4566767470263,0.0848808589625527,50.1944289077348,0,50.5,0,0
14,0,0,-6,-26,0,-14,-54,0,32.8024389337135,29.1204395571221,60.8276253029822,0.168174052158903,0.174718605954249,17.014356876795,23.8658988800731,0.296831119118747,52.4314079711725,0,53.5,0,0
